beta;se;lower_ci;upper_ci;pval;trait;type;nsnps;GRS;full_effect;Trait;whr
0.129489051;0.0375608;0.055871236;0.203106867;0.000565901;VAT;VAT;n=121;Smoking initiation-WHR GRS;0.13 (0.06, 0.20);VAT;unadjusted
0.098081581;0.037536577;0.024511242;0.17165192;0.008976176;GSAT;GSAT;n=121;Smoking initiation-WHR GRS;0.10 (0.02, 0.17);GSAT;unadjusted
0.090449458;0.03771042;0.016538392;0.164360524;0.016461167;ASAT;ASAT;n=121;Smoking initiation-WHR GRS;0.09 (0.02, 0.16);ASAT;unadjusted
0.101986108;0.037065696;0.029338678;0.174633538;0.005932378;VAT/GSAT;VAT/GSAT;n=121;Smoking initiation-WHR GRS;0.10 (0.03, 0.17);VAT/GSAT;unadjusted
0.096382206;0.036582312;0.024682192;0.168082221;0.008421989;VAT/ASAT;VAT/ASAT;n=121;Smoking initiation-WHR GRS;0.10 (0.02, 0.17);VAT/ASAT;unadjusted
0.046574425;0.03727986;-0.026492757;0.119641607;0.211548536;ASAT/GSAT;ASAT/GSAT;n=121;Smoking initiation-WHR GRS;0.05 (-0.03, 0.12);ASAT/GSAT;unadjusted
-0.03876652;0.036523454;-0.110351174;0.032818134;0.288501613;VATadjBMI;VATadjBMI;n=130;Smoking initiation-WHRadjBMI GRS;-0.04 (-0.11, 0.03);VATadjBMI;adjusted
-0.03387088;0.036228014;-0.104876483;0.037134723;0.349821204;GSATadjBMI;GSATadjBMI;n=130;Smoking initiation-WHRadjBMI GRS;-0.03 (-0.1, 0.04);GSATadjBMI;adjusted
-0.107342092;0.036810563;-0.179489469;-0.035194715;0.003544736;ASATadjBMI;ASATadjBMI;n=130;Smoking initiation-WHRadjBMI GRS;-0.11 (-0.18, -0.04);ASATadjBMI;adjusted
;;;;;;;;;;;
LIFETIME;;;;;;;;;;;
beta;se;lower_ci;upper_ci;pval;trait;type;nsnps;GRS;full_effect;Trait;whr
0.306167728;0.088070625;0.133552474;0.478782981;0.000508215;VAT;VAT;n=76;Lifetime smoking-WHR GRS;0.31 (0.13, 0.48);VAT;unadjusted
0.261466314;0.088017745;0.088954702;0.433977925;0.002972098;GSAT;GSAT;n=76;Lifetime smoking-WHR GRS;0.26 (0.09, 0.43);GSAT;unadjusted
0.213741919;0.088423946;0.04043417;0.387049668;0.015638692;ASAT;ASAT;n=76;Lifetime smoking-WHR GRS;0.21 (0.04, 0.39);ASAT;unadjusted
0.223798726;0.086919075;0.053440468;0.394156983;0.010029976;VAT/GSAT;VAT/GSAT;n=76;Lifetime smoking-WHR GRS;0.22 (0.05, 0.39);VAT/GSAT;unadjusted
0.253099032;0.08578447;0.084964561;0.421233503;0.003173564;VAT/ASAT;VAT/ASAT;n=76;Lifetime smoking-WHR GRS;0.25 (0.08, 0.42);VAT/ASAT;unadjusted
0.062082882;0.087422359;-0.109261792;0.233427556;0.477611875;ASAT/GSAT;ASAT/GSAT;n=76;Lifetime smoking-WHR GRS;0.06 (-0.11, 0.23);ASAT/GSAT;unadjusted
0.104520647;0.082979967;-0.0581171;0.267158395;0.207817696;VATadjBMI;VATadjBMI;n=83;Lifetime smoking-WHRadjBMI GRS;0.10 (-0.06, 0.27);VATadjBMI;adjusted
-0.002622688;0.082311569;-0.163950398;0.158705023;0.974581363;GSATadjBMI;GSATadjBMI;n=83;Lifetime smoking-WHRadjBMI GRS;0 (-0.16, 0.16);GSATadjBMI;adjusted
-0.131969475;0.083618051;-0.295857844;0.031918893;0.114510148;ASATadjBMI;ASATadjBMI;n=83;Lifetime smoking-WHRadjBMI GRS;-0.13 (-0.3, 0.03);ASATadjBMI;adjusted
